Method	Index	Dataset	ID	Keywords	Question	Skip	Result	Time
A	english_dbpedia_no_synonyms	qald-6-train-multilingual.json	141	Intel, founded	Who founded Intel?	no	Correct answer	828
A	english_dbpedia_no_synonyms	qald-6-train-multilingual.json	144	Weser, flow through, city	Which cities does the Weser flow through?	no	Wrong answer	1090
A	english_dbpedia_no_synonyms	qald-6-train-multilingual.json	145	Rhine, country	Which countries are connected by the Rhine?	no	Partial answer	1122
A	english_dbpedia_no_synonyms	qald-6-train-multilingual.json	146	professional surfer, born, Australia	Which professional surfers were born in Australia?	no	Wrong answer	1102
A	english_dbpedia_no_synonyms	qald-6-train-multilingual.json	148	MI6, headquarters, city, UK	In which UK city are the headquarters of the MI6?	no	Wrong answer	594
A	english_dbpedia_no_synonyms	qald-6-train-multilingual.json	15	created, Goofy	Who created Goofy?	no	Wrong answer	567
A	english_dbpedia_no_synonyms	qald-6-train-multilingual.json	151	islands, Japan	Give me all islands that belong to Japan.	no	Wrong answer	5943
A	english_dbpedia_no_synonyms	qald-6-train-multilingual.json	157	astronaut, Apollo 14	Give me all Apollo 14 astronauts.	no	Wrong answer	841
A	english_dbpedia_no_synonyms	qald-6-train-multilingual.json	163	movie, Denmark	Give me all Danish movies.	no	Wrong answer	12683
A	english_dbpedia_no_synonyms	qald-6-train-multilingual.json	164	launch pad, operate, NASA	Give me all launch pads operated by NASA.	no	Wrong answer	1055
A	english_dbpedia_no_synonyms	qald-6-train-multilingual.json	165	Cat Stevens, instrument	Which instruments does Cat Stevens play?	no	Wrong answer	1083
A	english_dbpedia_no_synonyms	qald-6-train-multilingual.json	167	Juan Carlos I, wife, parents	Who are the parents of the wife of Juan Carlos I?	no	Wrong answer	570
A	english_dbpedia_no_synonyms	qald-6-train-multilingual.json	168	Google, employees	How many employees does Google have?	no	Wrong answer	825
A	english_dbpedia_no_synonyms	qald-6-train-multilingual.json	174	Michael Jackson, die	When did Michael Jackson die?	no	Correct answer	1330
A	english_dbpedia_no_synonyms	qald-6-train-multilingual.json	175	chess players, British earl, die, same, place, born	Which Chess players died in the same place they were born in?	no	Wrong answer	6491
A	english_dbpedia_no_synonyms	qald-6-train-multilingual.json	176	Margaret Thatcher, child	List the children of Margaret Thatcher.	no	Correct answer	840
A	english_dbpedia_no_synonyms	qald-6-train-multilingual.json	18	museum, Scream, Munch	Which museum exhibits The Scream by Munch?	no	Wrong answer	559
A	english_dbpedia_no_synonyms	qald-6-train-multilingual.json	181	book, Kerouac, publish, Viking Press	Which books by Kerouac were published by Viking Press?	no	Wrong answer	775
A	english_dbpedia_no_synonyms	qald-6-train-multilingual.json	183	Mount Everest, high	How high is the Mount Everest?	no	Wrong answer	937
A	english_dbpedia_no_synonyms	qald-6-train-multilingual.json	184	Batman, creator	Who created Batman?	no	Correct answer	1334
A	english_dbpedia_no_synonyms	qald-6-train-multilingual.json	185	Australia, capital, people, live	How many people live in the capital of Australia?	no	Wrong answer	1594
A	english_dbpedia_no_synonyms	qald-6-train-multilingual.json	186	Australia, largest city	What is the largest city in Australia?	no	Wrong answer	816
A	english_dbpedia_no_synonyms	qald-6-train-multilingual.json	187	Harold and Maude, compose, music	Who composed the music for Harold and Maude?	no	Wrong answer	2008
A	english_dbpedia_no_synonyms	qald-6-train-multilingual.json	189	Dutch queen Juliana, burried, city	In which city was the former Dutch queen Juliana buried?	no	Wrong answer	567
A	english_dbpedia_no_synonyms	qald-6-train-multilingual.json	196	Ramones, B-sides	Give me all B-sides of the Ramones.	no	Wrong answer	554
A	english_dbpedia_no_synonyms	qald-6-train-multilingual.json	198	Miffy, creator, country	Which country does the creator of Miffy come from?	no	Wrong answer	710
A	english_dbpedia_no_synonyms	qald-6-train-multilingual.json	2	television show, Charmed, actor, birthday	Give me the birthdays of all actors of the television show Charmed.	no	Wrong answer	12806
A	english_dbpedia_no_synonyms	qald-6-train-multilingual.json	20	IBM, employees	How many employees does IBM have?	no	Wrong answer	1345
A	english_dbpedia_no_synonyms	qald-6-train-multilingual.json	22	Limerick Lake, country	In which country is the Limerick Lake?	no	Correct answer	1676
A	english_dbpedia_no_synonyms	qald-6-train-multilingual.json	23	television show, create, John Cleese	Which television shows were created by John Cleese?	no	Wrong answer	569
A	english_dbpedia_no_synonyms	qald-6-train-multilingual.json	25	film, directed, Garry Marshall, starring, Julia Roberts	In which films directed by Garry Marshall was Julia Roberts starring?	no	Wrong answer	23084
A	english_dbpedia_no_synonyms	qald-6-train-multilingual.json	29	Douglas Hofstadter, award	Which awards did Douglas Hofstadter win?	no	Correct answer	988
A	english_dbpedia_no_synonyms	qald-6-train-multilingual.json	3	Robert Kennedy, daughter, married	Who is the daughter of Robert Kennedy married to?	no	Wrong answer	809
A	english_dbpedia_no_synonyms	qald-6-train-multilingual.json	31	Czech republic, currency	What is the currency of the Czech Republic?	no	Wrong answer	834
A	english_dbpedia_no_synonyms	qald-6-train-multilingual.json	33	Berlin, area code	What is the area code of Berlin?	no	Wrong answer	570
A	english_dbpedia_no_synonyms	qald-6-train-multilingual.json	35	Rolls-Royce, owner	Who is the owner of Rolls-Royce?	no	Wrong answer	588
A	english_dbpedia_no_synonyms	qald-6-train-multilingual.json	36	Yenisei river, flow through, country	Through which countries does the Yenisei river flow?	no	Correct answer	1153
A	english_dbpedia_no_synonyms	qald-6-train-multilingual.json	38	politician, married, German	Which politicians were married to a German?	no	Partial answer	557
A	english_dbpedia_no_synonyms	qald-6-train-multilingual.json	39	Battle of Gettysburg	When was the Battle of Gettysburg?	no	Wrong answer	552
A	english_dbpedia_no_synonyms	qald-6-train-multilingual.json	4	river, cross, Brooklyn Bridge	Which river does the Brooklyn Bridge cross?	no	Correct answer	655
A	english_dbpedia_no_synonyms	qald-6-train-multilingual.json	42	Suriname, official language	What is the official language of Suriname?	no	Wrong answer	548
A	english_dbpedia_no_synonyms	qald-6-train-multilingual.json	43	Tel Aviv, mayor	Who is the mayor of Tel Aviv?	no	Wrong answer	562
A	english_dbpedia_no_synonyms	qald-6-train-multilingual.json	44	Brooklyn Bridge, design	Who designed the Brooklyn Bridge?	no	Wrong answer	564
A	english_dbpedia_no_synonyms	qald-6-train-multilingual.json	48	Forbes, editor	Who is the editor of Forbes?	no	Correct answer	802
A	english_dbpedia_no_synonyms	qald-6-train-multilingual.json	50	Bruce Carver, die	What did Bruce Carver die from?	no	Correct answer	822
A	english_dbpedia_no_synonyms	qald-6-train-multilingual.json	53	Germany, federal chancellors	Give me all federal chancellors of Germany.	no	Wrong answer	6202
A	english_dbpedia_no_synonyms	qald-6-train-multilingual.json	54	U.S. president, Lincoln, wife	Who was the wife of U.S. president Lincoln?	no	Wrong answer	4903
A	english_dbpedia_no_synonyms	qald-6-train-multilingual.json	55	video game, World of Warcraft, develop	Who developed the video game World of Warcraft?	no	Wrong answer	557
A	english_dbpedia_no_synonyms	qald-6-train-multilingual.json	57	HBO, television series, Sopranos, first season, episode	List all episodes of the first season of the HBO television series The Sopranos.	no	Wrong answer	1291
A	english_dbpedia_no_synonyms	qald-6-train-multilingual.json	6	city, John F. Kennedy, die	In which city did John F. Kennedy die?	no	Wrong answer	582
A	english_dbpedia_no_synonyms	qald-6-train-multilingual.json	62	Wikipedia, created	Who created Wikipedia?	no	Wrong answer	572
A	english_dbpedia_no_synonyms	qald-6-train-multilingual.json	63	actor, starring, Last Action Hero	Give me all actors starring in Last Action Hero.	no	Wrong answer	177911
A	english_dbpedia_no_synonyms	qald-6-train-multilingual.json	64	organization, founded, California, develop, software	Which software has been developed by organizations founded in California?	no	Wrong answer	17051
A	english_dbpedia_no_synonyms	qald-6-train-multilingual.json	68	actor, born, Germany	Which actors were born in Germany?	no	Wrong answer	5490
A	english_dbpedia_no_synonyms	qald-6-train-multilingual.json	70	film, produce, Hal Roach	Give me all films produced by Hal Roach.	no	Wrong answer	5202
A	english_dbpedia_no_synonyms	qald-6-train-multilingual.json	72	language, spoken, Estonia	Which languages are spoken in Estonia?	no	Partial answer	24488
A	english_dbpedia_no_synonyms	qald-6-train-multilingual.json	73	own, Aldi	How many Aldi stores are there?	no	Wrong answer	837
A	english_dbpedia_no_synonyms	qald-6-train-multilingual.json	75	United States, 16th president	Who was the 16th president of the United States?	no	Wrong answer	12860
A	english_dbpedia_no_synonyms	qald-6-train-multilingual.json	78	book, written, Danielle Steel	Give me all books written by Danielle Steel.	no	Wrong answer	6554
A	english_dbpedia_no_synonyms	qald-6-train-multilingual.json	79	airport, located, California, USA	Which airports are located in California, USA?	no	Wrong answer	445370
A	english_dbpedia_no_synonyms	qald-6-train-multilingual.json	80	record label, Canadian, Grunge	Give me all Canadian Grunge record labels.	no	Wrong answer	863
A	english_dbpedia_no_synonyms	qald-6-train-multilingual.json	82	GIMP, programming language	In which programming language is GIMP written?	no	Wrong answer	563
A	english_dbpedia_no_synonyms	qald-6-train-multilingual.json	83	produce, film, starring, Natalie Portman	Who produced films starring Natalie Portman?	no	Wrong answer	26405
A	english_dbpedia_no_synonyms	qald-6-train-multilingual.json	84	movie, Tom Cruise	Give me all movies with Tom Cruise.	no	Wrong answer	1172
A	english_dbpedia_no_synonyms	qald-6-train-multilingual.json	85	film, play, Julia Roberts, Richard Gere	In which films did Julia Roberts as well as Richard Gere play?	no	Wrong answer	6635
A	english_dbpedia_no_synonyms	qald-6-train-multilingual.json	87	wrote, book, The pillars of the Earth	Who wrote the book The Pillars of the Earth?	no	Wrong answer	1301
A	english_dbpedia_no_synonyms	qald-6-train-multilingual.json	88	film, star, Leonardo DiCaprio	How many films did Leonardo DiCaprio star in?	no	Wrong answer	8125
A	english_dbpedia_no_synonyms	qald-6-train-multilingual.json	89	Premier League, soccer club	Give me all soccer clubs in the Premier League.	no	Wrong answer	3644
A	english_dbpedia_no_synonyms	qald-6-train-multilingual.json	90	Jack Wolfskin, founded	When was Jack Wolfskin founded?	no	Wrong answer	791
A	english_dbpedia_no_synonyms	qald-6-train-multilingual.json	231	inhabitants, largest city, Canada	How many inhabitants does the largest city in Canada have?	no	Wrong answer	869
A	english_dbpedia_no_synonyms	qald-6-train-multilingual.json	249	Beatles, record, first album, studio	In which studio did the Beatles record their first album?	no	Wrong answer	554
A	english_dbpedia_no_synonyms	qald-6-train-multilingual.json	234	first, climb, mount Everest	Who was the first to climb Mount Everest?	no	Correct answer	788
A	english_dbpedia_no_synonyms	qald-6-train-multilingual.json	242	University of Oxford, official color	What is the official color of the University of Oxford?	no	Wrong answer	1083
A	english_dbpedia_no_synonyms	qald-6-train-multilingual.json	250	Michael Phelps, gold medals, 2008 Olpympics	How many gold medals did Michael Phelps win at the 2008 Olympics?	no	Wrong answer	827
A	english_dbpedia_no_synonyms	qald-6-train-multilingual.json	235	artistic movement, painter, The Three Dancers	To which artistic movement did the painter of The Three Dancers belong?	no	Wrong answer	6835
A	english_dbpedia_no_synonyms	qald-6-train-multilingual.json	211	animal, extinct	Give me all animals that are extinct.	no	Wrong answer	847
A	english_dbpedia_no_synonyms	qald-6-train-multilingual.json	244	Lake Chiemsee, depth	How deep is Lake Chiemsee?	no	Wrong answer	563
A	english_dbpedia_no_synonyms	qald-6-train-multilingual.json	240	Elvis Presley, grandchildren	Give me the grandchildren of Elvis Presley.	no	Wrong answer	820
A	english_dbpedia_no_synonyms	qald-6-train-multilingual.json	221	birthplace, Bach	Where was Bach born?	no	Correct answer	805
A	english_dbpedia_no_synonyms	qald-6-train-multilingual.json	232	countries, pay, West African CFA franc	In which countries can you pay using the West African CFA franc?	no	Wrong answer	972
A	english_dbpedia_no_synonyms	qald-6-train-multilingual.json	214	cause of death, most frequent	What is the most frequent cause of death?	no	Wrong answer	558
A	english_dbpedia_no_synonyms	qald-6-train-multilingual.json	241	writer, win, Nobel Prize in literature	Give me all writers that won the Nobel Prize in literature.	no	Wrong answer	726
A	english_dbpedia_no_synonyms	qald-6-train-multilingual.json	201	taikonauts	Give me all taikonauts.	no	Wrong answer	806
A	english_dbpedia_no_synonyms	qald-6-train-multilingual.json	212	how many, pages, War and Peace	How many pages does War and Peace have?	no	Wrong answer	827
A	english_dbpedia_no_synonyms	qald-6-train-multilingual.json	208	rivers, flow, German lake	Which rivers flow into a German lake?	no	Wrong answer	705
A	english_dbpedia_no_synonyms	qald-6-train-multilingual.json	246	rockets, launched, Baikonur	Which rockets were launched from Baikonur?	no	Wrong answer	565
A	english_dbpedia_no_synonyms	qald-6-train-multilingual.json	236	pope, succeed, John Paul II	Which pope succeeded John Paul II?	no	Correct answer	553
A	english_dbpedia_no_synonyms	qald-6-train-multilingual.json	205	Dutch, party	Give me all Dutch parties.	no	Wrong answer	561
A	english_dbpedia_no_synonyms	qald-6-train-multilingual.json	243	Swedish, oceanographer	Give me all Swedish oceanographers.	no	Wrong answer	567
A	english_dbpedia_no_synonyms	qald-6-train-multilingual.json	226	actors, born, Berlin	Give me all actors who were born in Berlin.	no	Wrong answer	4490
A	english_dbpedia_no_synonyms	qald-6-train-multilingual.json	248	ICRO, stand for	What does ICRO stand for?	no	Wrong answer	541
A	english_dbpedia_no_synonyms	qald-6-train-multilingual.json	213	carrot cake, ingredients	Which ingredients do I need for carrot cake?	no	Partial answer	556
A	english_dbpedia_no_synonyms	qald-6-train-multilingual.json	215	Tom Cruise, married	Who has Tom Cruise been married to?	no	Correct answer	818
A	english_dbpedia_no_synonyms	qald-6-train-multilingual.json	229	Australian, metalcore bands	Give me all Australian metalcore bands.	no	Wrong answer	3630
A	english_dbpedia_no_synonyms	qald-6-train-multilingual.json	206	date, Olof Palme, shot	When was Olof Palme shot?	no	Wrong answer	549
A	english_dbpedia_no_synonyms	qald-6-train-multilingual.json	252	swimmer, born, Moscow	Give all swimmers that were born in Moscow.	no	Wrong answer	570
A	english_dbpedia_no_synonyms	qald-6-train-multilingual.json	254	book, wrote, Muhammad Ali	Show me the book that Muhammad Ali wrote.	no	Wrong answer	943
A	english_dbpedia_no_synonyms	qald-6-train-multilingual.json	255	how many, museum, Paris	How many museums does Paris have?	no	Wrong answer	582
A	english_dbpedia_no_synonyms	qald-6-train-multilingual.json	258	TV shows, Neil Patrick Harris	Give me all the TV shows with Neil Patrick Harris.	no	Wrong answer	580
A	english_dbpedia_no_synonyms	qald-6-train-multilingual.json	260	soccer clubs, play, Bundesliga	Show a list of soccer clubs that play in the Bundesliga.	no	Wrong answer	5299
A	english_dbpedia_no_synonyms	qald-6-train-multilingual.json	262	founder, Penguin Books	Who is the founder of Penguin Books?	no	Partial answer	1256
A	english_dbpedia_no_synonyms	qald-6-train-multilingual.json	263	programming languages, influenced, Javascript	Which programming languages influenced Javascript?	no	Correct answer	736
A	english_dbpedia_no_synonyms	qald-6-train-multilingual.json	265	musicals, music by, Leonard Bernstein	List all the musicals with music by Leonard Bernstein.	no	Correct answer	7861
A	english_dbpedia_no_synonyms	qald-6-train-multilingual.json	266	breweries, Australia	Show me all the breweries in Australia.	no	Wrong answer	1088
A	english_dbpedia_no_synonyms	qald-6-train-multilingual.json	267	Titanic, completion date	When was the Titanic completed?	no	Correct answer	559
A	english_dbpedia_no_synonyms	qald-6-train-multilingual.json	268	cost, Pulp Fiction	How much did Pulp Fiction cost?	no	Wrong answer	550
A	english_dbpedia_no_synonyms	qald-6-train-multilingual.json	273	bridges, cross, Seine	Which bridges cross the Seine?	no	Partial answer	1478
A	english_dbpedia_no_synonyms	qald-6-train-multilingual.json	274	mayor, capital, French Polynesia	Who is the mayor of the capital of French Polynesia?	no	Wrong answer	804
A	english_dbpedia_no_synonyms	qald-6-train-multilingual.json	275	Dracula, creator, die	When did Dracula's creator die?	no	Wrong answer	793
A	english_dbpedia_no_synonyms	qald-6-train-multilingual.json	276	location, Houses of Parliament	What is the location of the Houses of Parliament?	no	Partial answer	848
A	english_dbpedia_no_synonyms	qald-6-train-multilingual.json	277	English Gothic buildings, Kent	Show me all English Gothic buildings in Kent.	no	Wrong answer	563
A	english_dbpedia_no_synonyms	qald-6-train-multilingual.json	278	pope, founded, Vatican Television	Who was the pope that founded the Vatican Television?	no	Wrong answer	1013
A	english_dbpedia_no_synonyms	qald-6-train-multilingual.json	280	total population, Melbourne Florida	What is the total population of Melbourne, Florida?	no	Wrong answer	36656
A	english_dbpedia_no_synonyms	qald-6-train-multilingual.json	281	airports, Yeti Airlines	Which airports does Yeti Airlines serve?	no	Wrong answer	77301
A	english_dbpedia_no_synonyms	qald-6-train-multilingual.json	282	year, born, Rachel Stevens	In which year was Rachel Stevens born?	no	Wrong answer	908
A	english_dbpedia_no_synonyms	qald-6-train-multilingual.json	283	JFK, assassinated	Where was JFK assassinated?	no	Wrong answer	821
A	english_dbpedia_no_synonyms	qald-6-train-multilingual.json	284	how many, politicians, graduated, Columbia University	How many politicians graduated from Columbia University?	no	Wrong answer	9437
A	english_dbpedia_no_synonyms	qald-6-train-multilingual.json	285	scientist, known for, Manhattan Project, Nobel Peace Prize	Which scientist is known for the Manhattan Project and the Nobel Peace Prize?	no	Wrong answer	6021
A	english_dbpedia_no_synonyms	qald-6-train-multilingual.json	289	owner, Facebook	Who is the owner of Facebook?	no	Wrong answer	838
A	english_dbpedia_no_synonyms	qald-6-train-multilingual.json	290	region, Melon de Bourgogne	From which region is the Melon de Bourgogne?	no	Wrong answer	822
A	english_dbpedia_no_synonyms	qald-6-train-multilingual.json	291	influenced, Socrated	Who was influenced by Socrates?	no	Partial answer	562
A	english_dbpedia_no_synonyms	qald-6-train-multilingual.json	295	married to, president Chirac	Who was married to president Chirac?	no	Wrong answer	830
A	english_dbpedia_no_synonyms	qald-6-train-multilingual.json	297	produced, France, sparkling wine	Where in France is sparkling wine produced?	no	Wrong answer	814
A	english_dbpedia_no_synonyms	qald-6-train-multilingual.json	298	Hillel Slovak, death place	Where did Hillel Slovak die?	no	Wrong answer	563
A	english_dbpedia_no_synonyms	qald-6-train-multilingual.json	299	timezone, San Pedro de Atacama	What is the timezone in San Pedro de Atacama?	no	Wrong answer	1251
A	english_dbpedia_no_synonyms	qald-6-train-multilingual.json	300	city, Chile Route 68, ends	In which city does the Chile Route 68 end?	no	Wrong answer	556
A	english_dbpedia_no_synonyms	qald-6-train-multilingual.json	301	ESA astronauts	Give me all ESA astronauts.	no	Wrong answer	556
A	english_dbpedia_no_synonyms	qald-6-train-multilingual.json	302	Swedish holidays	Give me all Swedish holidays.	no	Wrong answer	5456
A	english_dbpedia_no_synonyms	qald-6-train-multilingual.json	304	animal, critically endangered	Which animals are critically endangered?	no	Wrong answer	851
A	english_dbpedia_no_synonyms	qald-6-train-multilingual.json	305	soccer player, born on, Malta	Which soccer players were born on Malta?	no	Wrong answer	6100
A	english_dbpedia_no_synonyms	qald-6-train-multilingual.json	307	programming languages, influenced by, Perl	Which programming languages were influenced by Perl?	no	Partial answer	8627
A	english_dbpedia_no_synonyms	qald-6-train-multilingual.json	311	killed, John Lennon	Who killed John Lennon?	no	Correct answer	1100
A	english_dbpedia_no_synonyms	qald-6-train-multilingual.json	315	scientists, graduated, Ivy League university	How many scientists graduated from an Ivy League university?	no	Wrong answer	1424
A	english_dbpedia_no_synonyms	qald-6-train-multilingual.json	316	grape types, grow, Oregon	Which types of grapes grow in Oregon?	no	Wrong answer	565
A	english_dbpedia_no_synonyms	qald-6-train-multilingual.json	317	starring, Spanish movies, produced, Benicio del Toro	Who is starring in Spanish movies produced by Benicio del Toro?	no	Wrong answer	24883
A	english_dbpedia_no_synonyms	qald-6-train-multilingual.json	318	manager, Real Madrid	Who is the manager of Real Madrid?	no	Wrong answer	1098
A	english_dbpedia_no_synonyms	qald-6-train-multilingual.json	319	currency, China	Give me the currency of China.	no	Wrong answer	587
A	english_dbpedia_no_synonyms	qald-6-train-multilingual.json	320	movies, starring, Mickey Rourke, directed, Guy Ritchie	Which movies starring Mickey Rourke were directed by Guy Ritchie?	no	Wrong answer	2323
A	english_dbpedia_no_synonyms	qald-6-train-multilingual.json	324	subsidiary, TUI Travel, serve, Glasgow, Dublin	Which subsidiary of TUI Travel serves both Glasgow and Dublin?	no	Wrong answer	43450
A	english_dbpedia_no_synonyms	qald-6-train-multilingual.json	329	Swiss, non-profit organization	Give me all Swiss non-profit organizations.	no	Wrong answer	1397
A	english_dbpedia_no_synonyms	qald-6-train-multilingual.json	330	country, located, Mecca	In which country is Mecca located?	no	Wrong answer	862
A	english_dbpedia_no_synonyms	qald-6-train-multilingual.json	331	net income, Apple	What is the net income of Apple?	no	Wrong answer	564
A	english_dbpedia_no_synonyms	qald-6-train-multilingual.json	332	abbreviation, FIFA	What does the abbreviation FIFA stand for?	no	Wrong answer	563
A	english_dbpedia_no_synonyms	qald-6-train-multilingual.json	336	country, desserts, contain, fish	Desserts from which country contain fish?	no	Wrong answer	569
A	english_dbpedia_no_synonyms	qald-6-train-multilingual.json	337	highest, mountain, Italy	What is the highest mountain in Italy?	no	Wrong answer	579
A	english_dbpedia_no_synonyms	qald-6-train-multilingual.json	339	Greek party, pro-European	Which Greek parties are pro-European?	no	Wrong answer	575
A	english_dbpedia_no_synonyms	qald-6-train-multilingual.json	343	high, lighthouse in Colombo	How high is the lighthouse in Colombo?	no	Wrong answer	560
A	english_dbpedia_no_synonyms	qald-6-train-multilingual.json	347	parents, Queen Victoria	Who were the parents of Queen Victoria?	no	Wrong answer	601
A	english_dbpedia_synonyms	qald-6-train-multilingual.json	1	cosmonauts	Give me all cosmonauts.	no	Partial answer	1141
A	english_dbpedia_synonyms	qald-6-train-multilingual.json	10	Ganges, start, country	In which country does the Ganges start?	no	Wrong answer	10211
A	english_dbpedia_synonyms	qald-6-train-multilingual.json	102	John F. Kennedy, vice president	Who was John F. Kennedy's vice president?	no	Correct answer	5560
A	english_dbpedia_synonyms	qald-6-train-multilingual.json	103	Tel Aviv, mayor	Who is the mayor of Tel Aviv?	no	Wrong answer	840
A	english_dbpedia_synonyms	qald-6-train-multilingual.json	104	Free University, Amsterdam, students	How many students does the Free University in Amsterdam have?	no	Wrong answer	4673
A	english_dbpedia_synonyms	qald-6-train-multilingual.json	106	professional, skateboarder, Sweden	Give me all professional skateboarders from Sweden.	no	Wrong answer	8811
A	english_dbpedia_synonyms	qald-6-train-multilingual.json	109	bandleader, play, trumpet	Give me a list of all bandleaders that play trumpet.	no	Wrong answer	833
A	english_dbpedia_synonyms	qald-6-train-multilingual.json	11	country, cave, more than ten	Which countries have more than ten caves?	no	Wrong answer	550
A	english_dbpedia_synonyms	qald-6-train-multilingual.json	200	produce, Orangina	Who produces Orangina?	no	Wrong answer	4589
A	english_dbpedia_synonyms	qald-6-train-multilingual.json	114	member, Prodigy	Give me all members of Prodigy.	no	Wrong answer	543
A	english_dbpedia_synonyms	qald-6-train-multilingual.json	118	Mars rover Curiosity, main discoveries	What were the main discoveries of the Mars rover Curiosity?	no	Wrong answer	797
A	english_dbpedia_synonyms	qald-6-train-multilingual.json	119	people, born, Vienna, die, Berlin	Give me all people that were born in Vienna and died in Berlin.	no	Wrong answer	2667335
A	english_dbpedia_synonyms	qald-6-train-multilingual.json	120	tall, Michael Jordan	How tall is Michael Jordan?	no	Wrong answer	1887
A	english_dbpedia_synonyms	qald-6-train-multilingual.json	121	capital, Canada	What is the capital of Canada?	no	Wrong answer	21008
A	english_dbpedia_synonyms	qald-6-train-multilingual.json	128	movie, direct, Francis Ford Coppola	Give me all movies directed by Francis Ford Coppola.	no	Wrong answer	3542
A	english_dbpedia_synonyms	qald-6-train-multilingual.json	129	actor, starring, movie, direct, William Shatner	Give me all actors starring in movies directed by William Shatner.	no	Wrong answer	30320
A	english_dbpedia_synonyms	qald-6-train-multilingual.json	130	birth name, Angela Merkel	What is the birth name of Angela Merkel?	no	Wrong answer	836
A	english_dbpedia_synonyms	qald-6-train-multilingual.json	133	nonprofit organization, Australia	Give me all Australian nonprofit organizations.	no	Wrong answer	574
A	english_dbpedia_synonyms	qald-6-train-multilingual.json	134	Lawrence of Arabia, military conflict	In which military conflicts did Lawrence of Arabia participate?	no	Wrong answer	19469
A	english_dbpedia_synonyms	qald-6-train-multilingual.json	135	Minecraft, develop	Who developed Minecraft?	no	Partial answer	867
A	english_dbpedia_synonyms	qald-6-train-multilingual.json	138	Maribor, inhabitants	How many inhabitants does Maribor have?	no	Wrong answer	1367
A	english_dbpedia_synonyms	qald-6-train-multilingual.json	139	company, Munich	Give me all companies in Munich.	no	Wrong answer	7034
